Nº inventário;Localização;Denominação;Incorporação em
1173939;21080023;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1173940;21080023;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1173941;21080023;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1173942;21080023;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1173943;21080045;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1173944;21080045;CARRINHO P/FERRAMENTAS C/4 GAVETAS / MARCON;05/10/2016
1181545;21080057;ANDAIME INDUSTRIAL DE 12 METROS/FORTEQUIP;01/03/2017
1172445;21080057;ESCADA EXTENSÍVEL EM FIBRA 4,80X8,40M/ W BERTOLO;27/09/2016
1207005;21080057;ESCADA EM FIBRA 15D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207006;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207007;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207008;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207009;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207010;21080050;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207011;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207012;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207013;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207014;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207015;21080046;ESCADA EM FIBRA 7D - DUPLO ACESSO/WBERTOLO;04/05/2018
1207788;21080012;CARRINHO PARA TRANSPORTE DCE 234;23/07/2018
1220105;21080022;QUADRO BRANCO MAGNÉTICO MÓVEL;30/04/2019
1220106;21080045;QUADRO BRANCO MAGNÉTICO MÓVEL;30/04/2019
1220107;21080046;QUADRO BRANCO MAGNÉTICO MÓVEL;30/04/2019
1220108;21080024;QUADRO BRANCO MAGNÉTICO MÓVEL;30/04/2019
1220109;21080024;QUADRO BRANCO MAGNÉTICO MÓVEL;30/04/2019
1220110;21080012;QUADRO BRANCO MAGNÉTICO MÓVEL;30/04/2019
219486;21080044;MESA CANTONEIRA TAMPO MADEIRA TESOURA;01/01/1970
220871;21080057;BANCO P MARCENEIRO DC 559;31/12/1970
268204;21080023;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268234;21080024;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268235;21080024;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268253;21080024;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268255;21080024;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268257;21080024;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268263;21080024;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268269;21080022;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268270;21080024;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268271;21080057;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268272;21080022;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
268273;21080022;BANCADA P/ OFICINA 2,80 X 0,80 X 0,90;31/07/1973
271699;21080023;BANCADA P/ OFICINA C/ PARTE METALICA;31/03/1973
271702;21080022;BANCADA P/ OFICINA C/ PARTE METALICA;31/03/1973
271704;21080057;BANCADA P/ OFICINA C/ PARTE METALICA;31/03/1973
274872;21080024;BANCADA 2,80X0,80X0,85CM;31/05/1974
274876;21080023;BANCADA 2,80X0,80X0,85CM;31/05/1974
274893;21080046;BANCADA 2,80X0,80X0,85CM;01/01/1974
274918;21080023;BANCADA 2,80X0,80X0,85CM;31/05/1974
307866;21080045;MESA TIPO BANCADA P/OFICINA DC-927;31/08/1976
326251;21080057;MESA PARA INSTRUTOR DC 865;30/09/1977
331283;21080049;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331284;21080062;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331285;21080049;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331286;21080010;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331287;21080049;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331288;21080049;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331289;21080049;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331290;21080049;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331291;21080049;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331292;21080010;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331293;21080010;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331294;21080010;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331295;21080010;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
331296;21080049;POLTRONA ESTOFADA FLORENSE 542;31/03/1978
350691;21080024;CAVALETE P/TESOURAO DC-861;30/04/1979
374145;21080057;BANCADA P/MAQ.LIMAR DC 884;31/07/1980
429510;21080058;BALCAO COM ESCANINHOS TIPO B DC 870;31/12/1981
429516;21080058;BALCAO COM ESCANINHOS TIPO B DC 870;31/12/1981
444019;21080023;MESA PARA MOLDAGEM;31/12/1982
444022;21080023;MESA PARA MOLDAGEM;31/12/1982
444023;21080046;MESA PARA MOLDAGEM;31/12/1982
444024;21080023;MESA PARA MOLDAGEM;31/12/1982
444026;21080023;MESA PARA MOLDAGEM;31/12/1982
444028;21080023;MESA PARA MOLDAGEM;31/12/1982
444042;21080023;MESA PARA MOLDAGEM;31/12/1982
444046;21080023;MESA PARA MOLDAGEM;31/12/1982
491139;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491141;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491142;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491150;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491152;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491153;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491158;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491159;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491162;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491164;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491165;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
491166;21080046;MESA P/SALA DE MODELAGEM;30/06/1988
491170;21080023;MESA P/SALA DE MODELAGEM;30/06/1988
503245;21080039;CADEIRA P/SALA DE AULA DC 1307;31/12/1988
505374;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505375;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505378;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505381;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505382;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505383;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505384;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505385;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505386;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505387;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505388;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505389;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505390;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505391;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
505394;21080039;CADEIRA P/SALA DE AULA DC-1307;28/02/1989
510584;21080039;CADEIRA P/SALA DE AULA DC-1307;31/05/1989
515150;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515160;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515229;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515241;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515257;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515258;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515274;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515293;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515302;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515312;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515420;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
515471;21080039;CADEIRA P/SALA DE AULA DC 1307;30/09/1989
524709;21080039;CADEIRA P/SALA DE AULA DC-1307;30/04/1990
524719;21080039;CADEIRA P/SALA DE AULA DC-1307;30/04/1990
524723;21080039;CADEIRA P/SALA DE AULA DC-1307;30/04/1990
536800;21080044;BANCO GIRATORIO REG. DC-1139 - RUAS;28/02/1991
541745;21080052;BANCADA PARA CIRCUITO IMPRESSO DC-1348;31/07/1991
560223;21080010;POLTRONA GIRATORIA FLORENSE 7001;30/11/1991
560224;21080005;POLTRONA GIRATORIA FLORENSE 7001;30/11/1991
560225;21080010;POLTRONA GIRATORIA FLORENSE 7001;30/11/1991
560231;21080057;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560232;21080052;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560244;21080052;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560245;21080052;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560255;21080052;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560256;21080052;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560259;21080052;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560262;21080057;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560263;21080049;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560272;21080052;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560275;21080052;CADEIRA FIXA ENCOSTO TRAP FLORENSE 7203;30/11/1991
560290;21080049;CADEIRA GIRATORIA FLORENSE 7103;30/11/1991
560293;21080049;CADEIRA GIRATORIA FLORENSE 7103;30/11/1991
560300;21080049;CADEIRA GIRATORIA FLORENSE 7103;30/11/1991
560301;21080049;CADEIRA GIRATORIA FLORENSE 7103;30/11/1991
560306;21080049;CADEIRA GIRATORIA FLORENSE 7103;30/11/1991
560307;21080017;CADEIRA GIRATORIA FLORENSE 7103;30/11/1991
561082;21080017;MESA DE TRABALHO COM RODIZIOS FLORENSE;30/11/1991
561084;21080050;MESA DE TRABALHO COM RODIZIOS FLORENSE;30/11/1991
565620;21080057;ARMARIO P/INSTRUMENTOS SECURIT;31/01/1992
565623;21080057;ARMARIO P/INSTRUMENTOS SECURIT;31/01/1992
565624;21080057;ARMARIO P/INSTRUMENTOS SECURIT;31/01/1992
565625;21080057;ARMARIO P/INSTRUMENTOS SECURIT;31/01/1992
565627;21080057;ARMARIO P/INSTRUMENTOS SECURIT;31/01/1992
566103;21080057;ARMARIO P/PASTA SUSP MOD 14814 SECURIT;29/02/1992
566203;21080009;MESA REUNIAO 3X1X0,75M FLORENSE;29/02/1992
567353;21080039;CADEIRA P/SALA DE AULA DC-1307;29/02/1992
567363;21080039;CADEIRA P/SALA DE AULA DC-1307;29/02/1992
567372;21080039;CADEIRA P/SALA DE AULA DC-1307;29/02/1992
568382;21080054;ARMARIO GABINETE 380 CHAVES KARTRO;31/03/1992
569658;21080039;CADEIRA P/SALA DE AULA DC-1307;30/04/1992
570679;21080012;ESTANTE BIBLIOTECA SIMPLES SECURIT;30/04/1992
570688;21080057;ESTANTE BIBLIOTECA DUPLA SECURIT;30/04/1992
576228;21080052;ARMARIO C/4 PRATELEIRAS FIEL;31/08/1992
576232;21080052;ARMARIO C/4 PRATELEIRAS FIEL;31/08/1992
576233;21080053;ARMARIO C/4 PRATELEIRAS FIEL;31/08/1992
576242;21080057;ARMARIO C/4 PRATELEIRAS FIEL;31/08/1992
576247;21080033;ARMARIO C/4 PRATELEIRAS FIEL;31/08/1992
591579;21080057;ARMARIO PARA INSTRUMENTOS FIEL;30/11/1993
592215;21080052;CADEIRA GIRATORIA S/BRACOS GIROFLEX;30/11/1993
644704;21080044;CAVALETE P/ TESOURAO DC861;31/08/1998
647806;21080044;MESA P/ SOLDA OXI ACETILENICA DC 886;31/12/1998
651540;21080057;ESTANTE BIBLIOTECA DUPLA FACE SECURIT;31/05/1999
651541;21080057;ESTANTE BIBLIOTECA DUPLA FACE SECURIT;31/05/1999
651542;21080057;ESTANTE BIBLIOTECA DUPLA FACE SECURIT;31/05/1999
651547;21080057;ESTANTE BIBLIOTECA DUPLA FACE SECURIT;31/05/1999
652493;21080057;CADEIRA INFORM GIR 5PATAS 8003 ALBERFORT;31/07/1999
652494;21080057;CADEIRA INFORM GIR 5PATAS 8003 ALBERFORT;31/07/1999
652496;21080057;CADEIRA INFORM GIR 5PATAS 8003 ALBERFORT;31/07/1999
652498;21080057;CADEIRA INFORM GIR 5PATAS 8003 ALBERFORT;31/07/1999
652502;21080057;CADEIRA INFORM GIR 5PATAS 8003 ALBERFORT;31/07/1999
652504;21080057;CADEIRA INFORM GIR 5PATAS 8003 ALBERFORT;31/07/1999
652505;21080057;CADEIRA INFORM GIR 5PATAS 8003 ALBERFORT;31/07/1999
663311;21080041;CADEIRA GIRATORIA C/RODIZIOS MOD.540 TSM;28/02/2001
663312;21080012;CADEIRA GIRATORIA C/RODIZIOS MOD.540 TSM;28/02/2001
663313;21080041;CADEIRA GIRATORIA C/RODIZIOS MOD.540 TSM;28/02/2001
663314;21080012;CADEIRA GIRATORIA C/RODIZIOS MOD.540 TSM;28/02/2001
665687;21080016;MESA IMPRESSORA 760X735X600MM MCA;31/08/2001
670989;21080008;CADEIRA UNIVERSITÁRIA ESTOFADA TEC. PRETO GIROFLEX;30/11/2001
670991;21080008;CADEIRA UNIVERSITÁRIA ESTOFADA TEC. PRETO GIROFLEX;30/11/2001
670993;21080008;CADEIRA UNIVERSITÁRIA ESTOFADA TEC. PRETO GIROFLEX;30/11/2001
670997;21080008;CADEIRA UNIVERSITÁRIA ESTOFADA TEC. PRETO GIROFLEX;30/11/2001
670999;21080008;CADEIRA UNIVERSITÁRIA ESTOFADA TEC. PRETO GIROFLEX;30/11/2001
671003;21080008;CADEIRA UNIVERSITÁRIA ESTOFADA TEC. PRETO GIROFLEX;30/11/2001
671005;21080008;CADEIRA UNIVERSITÁRIA ESTOFADA TEC. PRETO GIROFLEX;30/11/2001
671011;21080008;CADEIRA UNIVERSITÁRIA ESTOFADA TEC. PRETO GIROFLEX;30/11/2001
671015;21080008;POLTRONA FIXA C/BRACOS 35S20005AO GIROFX;30/11/2001
671016;21080008;POLTRONA FIXA C/BRACOS 35S20005AO GIROFX;30/11/2001
671023;21080008;POLTRONA FIXA C/BRACOS 35S20005AO GIROFX;30/11/2001
671031;21080008;POLTRONA FIXA C/BRACOS 35S20005AO GIROFX;30/11/2001
679884;21080012;CADEIRA C/BRACO DE TECIDO AZUL ROYAL;31/05/2002
685642;21080053;MODULO DIVISOR REVESTIMENTO COR GELO;31/10/2002
685644;21080053;MODULO DIVISOR REVESTIMENTO COR GELO;31/10/2002
685645;21080044;MODULO DIVISOR REVESTIMENTO COR GELO;31/10/2002
685646;21080044;MODULO DIVISOR REVESTIMENTO COR GELO;31/10/2002
685648;21080044;MODULO DIVISOR REVESTIMENTO COR GELO;31/10/2002
685649;21080044;MODULO DIVISOR REVESTIMENTO COR GELO;31/10/2002
685651;21080044;MODULO DIVISOR REVESTIMENTO COR GELO;31/10/2002
708761;21080023;ARMARIO PARA FERRAMENTAS 2000X600X1710MM;30/11/2003
709012;21080044;MODULO DIVISOR;30/11/2003
709032;21080044;MODULO DIVISOR;30/11/2003
723614;21080044;MESA PARA SOLDA OXIACETILENICA DC 886;31/07/2004
724352;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724353;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724354;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724355;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724356;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724358;21080049;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724360;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724363;21080040;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724364;21080040;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724366;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724367;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724369;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724370;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724371;21080039;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724372;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724376;21080018;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724377;21080017;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724378;21080018;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724382;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724383;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724385;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724386;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724387;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724388;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724389;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724390;21080018;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724394;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724395;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724397;21080040;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724398;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724400;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724401;21080018;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724402;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724403;21080040;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724404;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724406;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724407;21080040;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724409;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724410;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724411;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724412;21080041;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
724413;21080012;CADEIRA GIRATORIA SEM BRACOS AZUL ROYAL;31/07/2004
726560;21080041;CADEIRA GIRATORIA S/BRACOS AZUL ROYAL;31/08/2004
734688;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734689;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734690;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734691;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734692;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734694;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734695;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734696;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734697;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734698;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734699;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734700;21080057;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
734701;21080044;BANCO ALTO 760MM ACO MADEIRA;31/03/2005
737185;21080057;CADEIRA GIRATORIA COM BRACOS AZUL ROYAL;31/07/2005
737189;21080057;CADEIRA GIRATORIA COM BRACOS AZUL ROYAL;31/07/2005
742562;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742563;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742564;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742565;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742566;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742567;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742568;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742569;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742572;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
742573;21080044;MODULO DIVISOR ALTURA 900MM;30/11/2005
